PK;NOMBRE;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADAX;COORDENADAY;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
1756;Biblioteca Pública Municipal Dámaso Alonso (Chamartín);De lunes a viernes de 8:30 a 21 horas. Festivos cerrados.;"Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.  Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de telelupa; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.";Metro:  Plaza de Castilla , Duque de Pastrana   Bus:  70, 107, 129, 174;Superficie:  808 metros cuadrados   Puestos de lectura:  129   Puestos de Internet:  8;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5870007f8441f010VgnVCM1000000b205a0aRCRD;MANUEL FERRERO;CALLE;V;1;;MADRID;MADRID;28036;CASTILLA;CHAMARTIN;442072;4480075;40,46745338;-3,684611277;91 350 31 50;;bpdamasoalonso@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1757;Biblioteca Pública Municipal Eugenio Trías. Casa de Fieras de El Retiro;"De lunes a viernes de 8:30 a 21 horas; sábados de 9:10 a 17:50 horas y domingos de 9:10 a 13:50 horas. Los festivos y los fines de semana de agosto, la biblioteca permanecerá cerrada.";"Accesible a personas con discapacidad física.  Espacios:  Sala de consulta y lectura; Salas de trabajo en grupo; Sala polivalente; Sala de publicaciones periódicas; Sala infantil; Sala de prelectores; Sala juvenil; Sala especializada en medio ambiente.   Servicios:  Préstamo de libros, multimedia y revistas; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.";Metro:  Ibiza  Bus:  20, 26, 63, 152 y Circular;Superficie:  3.794 metros cuadrados   Puestos de lectura:  185   Puestos de Internet:  39   Sala polivalente:  90   Salas de trabajo en grupo:  3 (6-8 personas en cada una)    Página en Facebook;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e791bed05ceed310VgnVCM1000000b205a0aRCRD;FERNAN NUÑEZ;PASEO;V;24;;MADRID;MADRID;28009;LOS JERONIMOS;RETIRO;442454;4474428;40,41660911;-3,679593037;91 480 48 38;;bpeugeniotrias@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1759;Biblioteca Pública Municipal Francisco Ayala (Vicálvaro);De lunes a viernes de 8:30 a 21 horas. Festivos cerrados.;"Accesible a personas con discapacidad física.   Espacios : Sala de Consulta y Lectura; Sala infantil y juvenil; Zona de publicaciones periódicas; Sala polivalente.  Servicios :  Préstamo de libros, multimedia y publicaciones periódicas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.";Metro:  Valdebernardo   Bus:  8, 71, 130;Superficie:  1.600 metros cuadrados   Puestos de lectura:  205   Puestos de Internet:  11   Sala polivalente:  55    Página en Facebook;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f05279262ef5d010VgnVCM1000000b205a0aRCRD;INDALECIO PRIETO;BULEVAR;V;21;;MADRID;MADRID;28032;VALDEBERNARDO;VICALVARO;447388;4472529;40,39982891;-3,621281891;91 301 64 66;;bpfranciscoayala@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1760;Biblioteca Pública Municipal Francisco Ibáñez (Chamartín);De lunes a viernes de 8:30 a 21 horas. Festivos cerrados.;"Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura;  Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros; multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.";Metro:  Concha Espina, Prosperidad   Bus:  9, 16, 29, 52;Superficie:  543 metros cuadrados   Puestos de lectura:  94   Puestos de Internet:  24;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0fce3d0b5e71c010VgnVCM1000000b205a0aRCRD;MANTUANO;CALLE;V;51;;MADRID;MADRID;28002;CIUDAD JARDIN;CHAMARTIN;442766;4477922;40,44810636;-3,676230962;91 510 37 56;;bpfranciscoibanez@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1761;Biblioteca Pública Municipal Gabriel García Márquez (Usera);De lunes a viernes de 8:30 a 21 horas. Festivos cerrados.;"Accesible a personas con discapacidad física.   Espacios:  Sala de consulta y lectura; Sala infantil y juvenil; Zona de publicaciones periódicas; Salas de trabajo en grupo; Sala polivalente  Servicios:  Préstamo de libros, multimedia y revistas; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.";Bus:  78, 116   Metro:  San Fermín - Orcasur  Renfe:  Orcasitas;Superficie:  1395 metros cuadrados   Puestos de lectura:  142   Puestos de Internet:  27   Sala polivalente:  55   Salas de trabajo en grupo:  2 (6 y 10 plazas)    Página en Facebook;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e4bf3d0b5e71c010VgnVCM1000000b205a0aRCRD;PUEBLO;PLAZA;NUM;2;CENTRO CULTURAL ORCASUR;MADRID;MADRID;28041;ORCASUR;USERA;440582;4468910;40,36676832;-3,701141063;"91 318 86 91                                                  
";;bpgarciamarquez@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1762;Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas);De lunes a viernes de 8:30 a 21 horas. Festivos cerrados.;"Accesible a personas con discapacidad física. Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil; Sala polivalente.   Servicios:  Préstamo de libros, multimedia y revistas (colección de libros en rumano); Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.";Metro:  Villa de Vallecas (línea 1)  Bus:  54, 58, 103, 130, 142;Superficie:  1.601 metros cuadrados   Puestos de lectura:  196   Puestos de Internet:  16   Sala polivalente : 59    Página en Facebook;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ca903d0b5e71c010VgnVCM1000000b205a0aRCRD;MONTE AYA;CALLE;NUM;12;;MADRID;MADRID;28031;CASCO HISTORICO VALLECAS;VILLA DE VALLECAS;447248;4470096;40,37790196;-3,622729661;91 380 66 33;;bpgerardodiego@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1763;Biblioteca Pública Municipal Gloria Fuertes (Barajas);De lunes a viernes de 8:30 a 21 horas. Festivos cerrados.;"Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil; Sala polivalente.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.";Metro:  Alameda de Osuna   Bus:  105, 112, 115;Superficie:  672 metros cuadrados   Puestos de lectura:  119   Puestos de Internet:  9   Sala polivalente:  30;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1f64c2c6e051c010VgnVCM2000000c205a0aRCRD;LOGROÑO;AVENIDA;V;179;;MADRID;MADRID;28042;CORRALEJOS;BARAJAS;449770;4479254;40,46055947;-3,593746181;91 312 02 58;;bpgloriafuertes@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1790;Biblioteca Pública Municipal Huerta de la Salud (Hortaleza);De lunes a viernes de 8:30 a 21 horas. Festivos cerrados.;"Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.";Metro:  Parque de Santa María   Bus:  9, 72, 107, 201;Superficie : 450 metros cuadrados   Puestos de lectura : 77   Puestos de Internet:  7;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9c5879262ef5d010VgnVCM1000000b205a0aRCRD;MAR DE LAS ANTILLAS;CALLE;V;10;;MADRID;MADRID;28033;PINAR DEL REY;HORTALEZA;445295;4480968;40,47571688;-3,646672578;91 764 52 43;;bphuertasalud@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1792;Biblioteca Pública Municipal Iván de Vargas (Centro);"De lunes a viernes de 8:30 a 21 horas; sábados de 9:10 a 17:50 horas y domingos de 9:10 a 13:50 horas. Los festivos y los fines de semana de agosto, la biblioteca permanecerá cerrada.";"Accesible a personas con discapacidad física.    Espacios:  Sala de Madrid; Sala de lectura; Sala de publicaciones periódicas; Sala infantil; Sala juvenil; Sala polivalente; Sala de trabajo en grupo.    Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía";Metro:  Sol, Latina y Ópera   Bus:  3, 17, 18, 23, 31, 50, 65   Renfe:  Sol;Superficie:    2.884 metros cuadrados   Puestos de lectura:    164   Puestos de Internet:    18   Puestos de la sala polivalente:  45   Puestos de la sala de trabajo en grupo:      Página en Facebook;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0b60e92be3c5e210VgnVCM1000000b205a0aRCRD;SAN JUSTO;CALLE;V;5;;MADRID;MADRID;28005;PALACIO;CENTRO;439884;4474170;40,41410291;-3,709859121;917 586 211;;bpivandevargas@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1794;Biblioteca Pública Municipal José Hierro (San Blas-Canillejas);De lunes a viernes de 8:30 a 21 horas. Festivos cerrados.;"Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil; Comiteca; Sala polivalente.   Servicios:  Préstamo de libros, multimedia y revistas (colección de libros en rumano); Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de telelupa; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.";Metro:  Las Musas   Bus:  38, 48, 140, 153   Autobuses interurbanos:  286, 288, 289;Superficie:  1.866 metros cuadrados   Puestos de lectura:  227   Puestos de Internet:  13   Sala polivalente:  50    Página en Facebook;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=338879262ef5d010VgnVCM1000000b205a0aRCRD;MARIA SEVILLA DIAGO;CALLE;V;15;;MADRID;MADRID;28022;ROSAS;SAN BLAS-CANILLEJAS;448323;4476237;40,43329163;-3,610566231;91 313 55 28;;bpjosehierro@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1882;Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo);De lunes a viernes de 8:30 a 21 horas. Festivos cerrados.;"Accesible a personas con discapacidad física (sólo en la planta baja).   Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil; Sala polivalente.   Servicios:  Préstamo de libros, multimedia y revistas; Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.";Metro:  Barrio del Pilar, Peñagrande   Bus:  49, 83, 128, 132, 134, 137;Superficie:  1.276 metros cuadrados   Puestos de lectura:  204   Puestos de Internet:  17   Sala polivalente : 30    Página en Facebook;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=70d879262ef5d010VgnVCM1000000b205a0aRCRD;MONFORTE DE LEMOS;AVENIDA;V;38;;MADRID;MADRID;28029;EL PILAR;FUENCARRAL-EL PARDO;439977;4481329;40,47860087;-3,709440834;91 588 68 91;;bpjosesaramago@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
1908;Biblioteca Pública Municipal La Chata (Carabanchel);De lunes a viernes de 8:30 a 21 horas. Festivos cerrados.;"Accesible a personas con discapacidad física.  Espacios:  Sala de Consulta y Lectura; Zona de publicaciones periódicas; Sala infantil y juvenil.   Servicios:  Préstamo de libros, multimedia y revistas (colección de libros en rumano); Préstamo de dispositivos de ayuda a la lectura (lupas para libros y discman para audiolibros); Servicio de telelupa; Servicio de Acceso Público a Internet; Zona wifi; Información bibliográfica; Animación a la lectura; Formación de usuarios; Reprografía.";Metro:  Eugenia de Montijo, Carabanchel   Bus:  34 , 35;Superficie:  1.600 metros cuadrados   Puestos de lectura:  223   Puestos de Internet:  17;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d9a879262ef5d010VgnVCM1000000b205a0aRCRD;GENERAL RICARDOS;CALLE;NUM;252;Antiguo Mercado de Carabanchel;MADRID;MADRID;28025;VISTA ALEGRE;CARABANCHEL;437123;4470774;40,38330594;-3,742063386;91 422 05 33;;bplachata@madrid.es;/contenido/entidadesYorganismos/BibliotecasPublicas; 
